transaction_id,customer_id,main_account_number,transaction_date,amount,debit_credit,description,merchant,category,payment_method,organization_indicator,currency,business_responsible,balance
e5d2af30-66ab-470b-b898-62ac43715a26,6c795416-1eeb-471f-9a52-ab69b1bf8a65,GB79NMHM58074120948181,2022-09-14,990.43,debit,"CARD PAYMENT WILSON, SMITH AND EVANS WILSONMOUTH",Brown Group,Financial Services,Debit Card,Individual,EUR,Monica Herrera,13037.99
6a25d7e0-ffa3-4496-aeaf-b79061edb3b7,75585f45-1bbf-4e2d-8663-7d0eb0883226,GB16OSBX14754692632967,2022-09-14,630.91,credit,"ONLINE PAYMENT BARRERA, WOOD AND MENDOZA ORDER ORD602814",Johnson Group,Equipment & Maintenance,Mobile Payment,Company,EUR,Daniel Wagner,24350.63
827bea27-e8d1-4894-a1f4-50deb7ac20fd,871152f0-c0f1-490e-89df-3e530779605e,GB40EXTN18446267146283,2022-09-14,424.38,debit,ONLINE PAYMENT HOLMES AND SONS ORDER ORD910724,"Smith, Cantrell and Schwartz",Home & Furniture,Mobile Payment,Individual,EUR,Cristian Santos,24075.02
ae30ecb1-2c31-49ff-af03-35dcce373e1d,d99a1095-02cd-4a77-9dd5-e32be0c139d7,GB20KZQI04499727875588,2022-09-14,237.56,debit,SEPA DD PATEL PLC MANDATE MAND6931,Young Group,Equipment & Maintenance,Credit Card,Company,EUR,Angie Henderson,406381.34
e7d1306f-f796-48c4-bf85-1b283cd629b1,291cc621-36d7-41c9-ac24-48fc8e0595f2,GB02OHSB21962071002194,2022-09-14,401.32,debit,CREDIT FERNANDEZ-WALL SALARY NOVEMBER,Rodriguez and Sons,Employee Benefits,Credit Card,Company,EUR,Cristian Santos,209783.21
9528c997-1ea4-4e1a-b182-5639f6b2c966,2727f262-9dfc-4655-9535-9336339036e8,GB18DDLS40821545447022,2022-09-14,196.09,debit,CARD PAYMENT RIVERA LTD WEST ANDREWSIDE,Newton-Williams,Security Services,Credit Card,Company,EUR,Noah Rhodes,276876.34
a43f9431-8d27-4d1f-8186-3ea22932d550,7a433163-aec4-49b4-8efd-50cd0095cd56,GB34ZUKE36687887883619,2022-09-14,929.56,credit,"DIRECT DEBIT WALTERS, FULLER AND MICHAEL INV88533",Peck Group,Warehousing & Storage,Credit Card,Company,EUR,Connie Lawrence,417782.35
e732d57a-9bc7-4ef8-91e6-fe5625a773de,2b6b6bf6-1cb7-4696-8f5f-1f2493936dba,GB15BPSF52419138000307,2022-09-14,628.43,credit,TRANSFER TO AMY STEWART GB39IHCK32931493928223,"Lynch, Morales and Ramirez",Marketing & Advertising,Credit Card,Company,EUR,Angie Henderson,460564.56
bcf94c20-07d9-4577-b86b-c503096c8006,0ccf0b6a-db9b-462e-b3b2-4a2c079dc317,GB36DUVJ62730147195979,2022-09-14,817.6,debit,PAYMENT LOWE GROUP ORD285407,Hughes-Rodriguez,Personal Care,Mobile Payment,Individual,EUR,Noah Rhodes,31998.63
1f90634e-c23e-46bb-af35-c5e09e3b2f5c,bed6cae5-bc42-4259-a82b-5675c32c7544,GB30QRVM94611952436402,2022-09-15,215.0,credit,CARD PAYMENT PARKS-MCDONALD NORTH KATHLEENFURT,Davidson-Hammond,Employee Benefits,Debit Card,Company,EUR,Dylan Miller,330910.04
